article_slug,incoming_count_from_articles,incoming_from,outgoing_to_articles_count,outgoing_to_articles,orphan_status
articles/akhilleus-kimdir,5,articles/apollon-kimdir; articles/herakles-kimdir; articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/truva-savasi-nedir,6,articles/athena-kimdir; articles/herakles-kimdir; articles/odysseus-kimdir; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/antik-misir-tanrilari,2,articles/antik-misirda-mumyalama; articles/maat-kimdir,13,articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/bastet-kimdir; articles/hathor-kimdir; articles/horus-kimdir; articles/isis-kimdir; articles/maat-kimdir; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/ra-kimdir; articles/set-kimdir; articles/thoth-kimdir,
articles/antik-misirda-kediler-neden-kutsaldi,0,,5,articles/anubis-kimdir; articles/bastet-kimdir; articles/osiris-kimdir; articles/ra-kimdir; articles/sekhmet-kimdir,ORPHAN
articles/antik-misirda-mumyalama,8,articles/antik-misir-tanrilari; articles/anubis-kimdir; articles/bastet-kimdir; articles/maat-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir,10,articles/antik-misir-tanrilari; articles/anubis-kimdir; articles/gobeklitepe-nedir; articles/horus-kimdir; articles/maat-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/thoth-kimdir,
articles/anubis-kimdir,12,articles/antik-misir-tanrilari; articles/antik-misirda-kediler-neden-kutsaldi; articles/antik-misirda-mumyalama; articles/bastet-kimdir; articles/horus-kimdir; articles/maat-kimdir; articles/olimpos-tanrilari; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/set-kimdir; articles/thoth-kimdir,8,articles/antik-misirda-mumyalama; articles/isis-kimdir; articles/maat-kimdir; articles/olimpos-tanrilari; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/set-kimdir,
articles/apollon-kimdir,3,articles/dionysos-kimdir; articles/hermes-kimdir; articles/kronos-kimdir,7,articles/akhilleus-kimdir; articles/artemis-kimdir; articles/hera-kimdir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/arachne-efsanesi,3,articles/athena-kimdir; articles/ikarus-efsanesi; articles/olimpos-tanrilari,7,articles/athena-kimdir; articles/athena-medusayi-neden-lanetledi; articles/athena-poseidon-atina-mucadelesi; articles/olimpos-tanrilari; articles/pandoras-kutusu-nedir; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/ares-kimdir,1,articles/artemis-kimdir,7,articles/athena-kimdir; articles/hera-kimdir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/artemis-kimdir,1,articles/apollon-kimdir,5,articles/ares-kimdir; articles/athena-kimdir; articles/hera-kimdir; articles/olimpos-tanrilari; articles/zeus-kimdir,
articles/athena-kimdir,23,articles/akhilleus-kimdir; articles/arachne-efsanesi; articles/ares-kimdir; articles/artemis-kimdir; articles/athena-medusayi-neden-lanetledi; articles/athena-poseidon-atina-mucadelesi; articles/demeter-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/herakles-12-gorevi; articles/herakles-kimdir; articles/medusa-kimdir; articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/pandoras-kutusu-nedir; articles/pegasus-kimdir; articles/persephone-kacirilis; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,11,articles/arachne-efsanesi; articles/athena-medusayi-neden-lanetledi; articles/athena-poseidon-atina-mucadelesi; articles/herakles-kimdir; articles/medusa-kimdir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/perseus-medusayi-nasil-oldurdu; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/athena-medusayi-neden-lanetledi,5,articles/arachne-efsanesi; articles/athena-kimdir; articles/medusa-kimdir; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu,5,articles/athena-kimdir; articles/medusa-kimdir; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu; articles/poseidon-kimdir,
articles/athena-poseidon-atina-mucadelesi,3,articles/arachne-efsanesi; articles/athena-kimdir; articles/poseidon-kimdir,2,articles/athena-kimdir; articles/poseidon-kimdir,
articles/bastet-kimdir,2,articles/antik-misir-tanrilari; articles/antik-misirda-kediler-neden-kutsaldi,9,articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/hathor-kimdir; articles/horus-kimdir; articles/isis-kimdir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/ra-kimdir; articles/thoth-kimdir,
articles/demeter-kimdir,7,articles/gaia-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/kronos-kimdir; articles/olimpos-tanrilari; articles/persephone-kacirilis; articles/titanlar-kimdir,6,articles/athena-kimdir; articles/hades-kimdir; articles/olimpos-tanrilari; articles/persephone-kacirilis; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/dionysos-kimdir,1,articles/kronos-kimdir,6,articles/apollon-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/hermes-kimdir; articles/olimpos-tanrilari; articles/zeus-kimdir,
articles/gaia-kimdir,4,articles/prometheus-kimdir; articles/titanlar-kimdir; articles/titanlar-savasi; articles/yunan-mitolojisinde-evrenin-yaratilisi,8,articles/demeter-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/hermes-kimdir; articles/kronos-kimdir; articles/olimpos-tanrilari; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/gobeklitepe-nedir,3,articles/antik-misirda-mumyalama; articles/ismini-hukumdarlardan-alan-sehirler; articles/misir-piramitleri-nasil-insa-edildi,2,articles/ismini-hukumdarlardan-alan-sehirler; articles/misir-piramitleri-nasil-insa-edildi,
articles/hades-kimdir,16,articles/demeter-kimdir; articles/dionysos-kimdir; articles/gaia-kimdir; articles/hera-kimdir; articles/herakles-12-gorevi; articles/herakles-kimdir; articles/hermes-kimdir; articles/kronos-kimdir; articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/persephone-kacirilis; articles/poseidon-kimdir; articles/titanlar-kimdir; articles/titanlar-savasi; articles/zeus-kimdir,9,articles/athena-kimdir; articles/demeter-kimdir; articles/herakles-kimdir; articles/medusa-kimdir; articles/olimpos-tanrilari; articles/persephone-kacirilis; articles/perseus-medusayi-nasil-oldurdu; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/hathor-kimdir,2,articles/antik-misir-tanrilari; articles/bastet-kimdir,4,articles/horus-kimdir; articles/isis-kimdir; articles/osiris-kimdir; articles/ra-kimdir,
articles/hera-kimdir,8,articles/apollon-kimdir; articles/ares-kimdir; articles/artemis-kimdir; articles/dionysos-kimdir; articles/gaia-kimdir; articles/hermes-kimdir; articles/kronos-kimdir; articles/titanlar-kimdir,11,articles/athena-kimdir; articles/demeter-kimdir; articles/hades-kimdir; articles/herakles-12-gorevi; articles/herakles-kimdir; articles/medusa-kimdir; articles/olimpos-tanrilari; articles/persephone-kacirilis; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/herakles-12-gorevi,5,articles/hera-kimdir; articles/herakles-kimdir; articles/prometheus-kimdir; articles/titanlar-savasi; articles/zeus-kimdir,6,articles/athena-kimdir; articles/hades-kimdir; articles/herakles-kimdir; articles/minotor-efsanesi; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/herakles-kimdir,13,articles/akhilleus-kimdir; articles/athena-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/herakles-12-gorevi; articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu; articles/prometheusun-cezasi; articles/theseus-kimdir; articles/yunan-mitolojisinde-evrenin-yaratilisi; articles/zeus-kimdir,8,articles/akhilleus-kimdir; articles/athena-kimdir; articles/hades-kimdir; articles/herakles-12-gorevi; articles/minotor-efsanesi; articles/odysseus-kimdir; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/hermes-kimdir,3,articles/dionysos-kimdir; articles/gaia-kimdir; articles/kronos-kimdir,7,articles/apollon-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/zeus-kimdir,
articles/horus-kimdir,9,articles/antik-misir-tanrilari; articles/antik-misirda-mumyalama; articles/bastet-kimdir; articles/hathor-kimdir; articles/isis-kimdir; articles/osiris-kimdir; articles/ra-kimdir; articles/set-kimdir; articles/thoth-kimdir,5,articles/anubis-kimdir; articles/isis-kimdir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/set-kimdir,
articles/ikarus-efsanesi,1,articles/theseus-kimdir,2,articles/arachne-efsanesi; articles/minotor-efsanesi,
articles/isis-kimdir,8,articles/antik-misir-tanrilari; articles/anubis-kimdir; articles/bastet-kimdir; articles/hathor-kimdir; articles/horus-kimdir; articles/ra-kimdir; articles/set-kimdir; articles/thoth-kimdir,5,articles/horus-kimdir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/ra-kimdir; articles/set-kimdir,
articles/ismini-hukumdarlardan-alan-sehirler,1,articles/gobeklitepe-nedir,2,articles/gobeklitepe-nedir; articles/misir-piramitleri-nasil-insa-edildi,
articles/kronos-kimdir,6,articles/gaia-kimdir; articles/prometheus-kimdir; articles/prometheusun-cezasi; articles/titanlar-kimdir; articles/titanlar-savasi; articles/yunan-mitolojisinde-evrenin-yaratilisi,9,articles/apollon-kimdir; articles/demeter-kimdir; articles/dionysos-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/hermes-kimdir; articles/olimpos-tanrilari; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/maat-kimdir,7,articles/antik-misir-tanrilari; articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/ra-kimdir; articles/thoth-kimdir,7,articles/antik-misir-tanrilari; articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/ra-kimdir,
articles/medusa-kimdir,9,articles/athena-kimdir; articles/athena-medusayi-neden-lanetledi; articles/hades-kimdir; articles/hera-kimdir; articles/minotor-efsanesi; articles/pegasus-kimdir; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu; articles/zeus-kimdir,7,articles/athena-kimdir; articles/athena-medusayi-neden-lanetledi; articles/pegasus-kimdir; articles/perseus-kimdir; articles/perseus-medusayi-nasil-oldurdu; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/minotor-efsanesi,4,articles/herakles-12-gorevi; articles/herakles-kimdir; articles/ikarus-efsanesi; articles/theseus-kimdir,3,articles/medusa-kimdir; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/misir-piramitleri-nasil-insa-edildi,6,articles/antik-misirda-mumyalama; articles/gobeklitepe-nedir; articles/ismini-hukumdarlardan-alan-sehirler; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir,3,articles/antik-misirda-mumyalama; articles/gobeklitepe-nedir; articles/olimpos-tanrilari,
articles/odysseia-destani-nedir,5,articles/hermes-kimdir; articles/odysseia-filmi-2026; articles/odysseus-kimdir; articles/poseidon-kimdir; articles/truva-savasi-nedir,9,articles/akhilleus-kimdir; articles/athena-kimdir; articles/hades-kimdir; articles/herakles-kimdir; articles/odysseus-kimdir; articles/poseidon-kimdir; articles/truva-ati-gercek-mi; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/odysseia-filmi-2026,0,,6,articles/odysseia-destani-nedir; articles/odysseus-kimdir; articles/olimpos-tanrilari; articles/poseidon-kimdir; articles/truva-savasi-nedir; articles/zeus-kimdir,ORPHAN
articles/odysseus-kimdir,11,articles/akhilleus-kimdir; articles/apollon-kimdir; articles/ares-kimdir; articles/athena-kimdir; articles/herakles-kimdir; articles/hermes-kimdir; articles/odysseia-destani-nedir; articles/odysseia-filmi-2026; articles/poseidon-kimdir; articles/theseus-kimdir; articles/truva-savasi-nedir,9,articles/akhilleus-kimdir; articles/athena-kimdir; articles/hades-kimdir; articles/herakles-kimdir; articles/odysseia-destani-nedir; articles/poseidon-kimdir; articles/truva-ati-gercek-mi; articles/truva-savasi-nedir; articles/zeus-kimdir,
articles/olimpos-tanrilari,20,articles/anubis-kimdir; articles/apollon-kimdir; articles/arachne-efsanesi; articles/ares-kimdir; articles/artemis-kimdir; articles/athena-kimdir; articles/demeter-kimdir; articles/dionysos-kimdir; articles/gaia-kimdir; articles/hades-kimdir; articles/hera-kimdir; articles/hermes-kimdir; articles/kronos-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/odysseia-filmi-2026; articles/pandoras-kutusu-nedir; articles/poseidon-kimdir; articles/truva-ati-gercek-mi; articles/yunan-mitolojisinde-evrenin-yaratilisi; articles/zeus-kimdir,9,articles/anubis-kimdir; articles/arachne-efsanesi; articles/athena-kimdir; articles/demeter-kimdir; articles/hades-kimdir; articles/osiris-kimdir; articles/persephone-kacirilis; articles/poseidon-kimdir; articles/zeus-kimdir,
articles/oluler-kitabi-nedir,7,articles/antik-misir-tanrilari; articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/maat-kimdir; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir; articles/thoth-kimdir,6,articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/maat-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/olumden-sonraki-yasam-inanci; articles/osiris-kimdir,
articles/olumden-sonraki-yasam-inanci,11,articles/antik-misir-tanrilari; articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/bastet-kimdir; articles/horus-kimdir; articles/isis-kimdir; articles/maat-kimdir; articles/oluler-kitabi-nedir; articles/osiris-kimdir; articles/ra-kimdir; articles/set-kimdir,6,articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/maat-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/oluler-kitabi-nedir; articles/osiris-kimdir,
articles/osiris-kimdir,15,articles/antik-misir-tanrilari; articles/antik-misirda-kediler-neden-kutsaldi; articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/bastet-kimdir; articles/hathor-kimdir; articles/horus-kimdir; articles/isis-kimdir; articles/maat-kimdir; articles/olimpos-tanrilari; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/ra-kimdir; articles/set-kimdir; articles/thoth-kimdir,9,articles/antik-misirda-mumyalama; articles/anubis-kimdir; articles/horus-kimdir; articles/misir-piramitleri-nasil-insa-edildi; articles/oluler-kitabi-nedir; articles/olumden-sonraki-yasam-inanci; articles/ra-kimdir; articles/set-kimdir; articles/thoth-kimdir,
articles/pandoras-kutusu-nedir,4,articles/arachne-efsanesi; articles/prometheus-kimdir; articles/prometheusun-cezasi; articles/yunan-mitolojisinde-evrenin-yaratilisi,3,articles/athena-kimdir; articles/olimpos-tanrilari; articles/zeus-kimdir,
